ID_CANDIDATO;REMUN_BRUTA_ANUAL_PUBLICA;REMUN_BRUTA_ANUAL_PRIVADA;RENTA_BRUTA_ANUAL_INDIV_PUBLICA;RENTA_BRUTA_ANUAL_INDIV_PRIVADA;OTROS_INGRESOS_ANUALES_PUBLICA;OTROS_INGRESOS_ANUALES_PRIVADA;TOTAL_REMUN_BRUTA_ANUAL;TOTAL_RENTA_BRUTA_ANUAL;TOTAL_OTROS_INGRESOS_ANUALES;TOTAL_GENERAL
158833;0;0;0;11400;0;0;0;11400;0;11400
158834;32681.2;0;0;0;0;0;32681.2;0;0;32681.2
160089;0;0;0;35000;0;0;0;35000;0;35000
160090;28800;0;0;8000;0;0;28800;8000;0;36800
160091;18000;24000;0;12000;0;0;42000;12000;0;54000
160092;0;0;9000;0;0;0;0;9000;0;9000
160093;0;0;0;36000;0;0;0;36000;0;36000
160094;0;0;0;12000;0;0;0;12000;0;12000
158100;0;0;0;0;0;0;0;0;0;0
158102;0;18000;0;2000;0;0;18000;2000;0;20000
158103;26043.600000000002;0;0;0;0;0;26043.6;0;0;26043.6
158105;0;0;15000;30000;0;0;0;45000;0;45000
161008;0;60000;0;0;0;240000;60000;0;240000;300000
161009;30180;0;0;0;0;0;30180;0;0;30180
161010;0;0;0;0;0;0;0;0;0;0
161011;0;0;0;0;0;30000;0;0;30000;30000
161012;0;0;0;42000;0;0;0;42000;0;42000
160911;27000;10000;0;0;0;0;37000;0;0;37000
160914;0;0;0;12000;0;0;0;12000;0;12000
160916;22000;5000;0;5000;0;0;27000;5000;0;32000
161575;0;193365.96;0;0;0;0;193365.96;0;0;193365.96
161577;0;0;0;20000;0;0;0;20000;0;20000
161579;38400;0;0;0;0;0;38400;0;0;38400
159225;0;10305;0;800;0;167940;10305;800;167940;179045
159228;0;0;0;23000;0;0;0;23000;0;23000
159229;36000;24000;0;11000;0;0;60000;11000;0;71000
159230;0;11160;0;0;0;0;11160;0;0;11160
160732;0;0;0;20000;0;0;0;20000;0;20000
160733;0;0;0;35000;0;0;0;35000;0;35000
160735;0;0;0;21600;0;0;0;21600;0;21600
160736;0;0;0;0;48600;0;0;0;48600;48600
160345;0;0;0;50000;0;0;0;50000;0;50000
160346;0;0;0;14000;0;0;0;14000;0;14000
160348;0;60000;0;15000;0;0;60000;15000;0;75000
158656;5000;70000;0;0;0;0;75000;0;0;75000
158657;0;0;0;18000;0;0;0;18000;0;18000
158658;0;18000;0;0;0;0;18000;0;0;18000
158659;11000;0;0;0;0;0;11000;0;0;11000
158660;0;72000;0;0;0;0;72000;0;0;72000
159718;0;24000;0;0;0;0;24000;0;0;24000
159719;0;24000;0;0;0;0;24000;0;0;24000
159720;0;18000;0;0;0;0;18000;0;0;18000
159721;30000;0;0;0;0;0;30000;0;0;30000
159722;0;0;0;10000;0;0;0;10000;0;10000
159723;12480;0;0;0;0;0;12480;0;0;12480
159179;0;0;0;0;0;50000;0;0;50000;50000
159180;60000;0;0;0;0;0;60000;0;0;60000
159181;0;0;0;0;12510.4;0;0;0;12510.4;12510.4
159183;0;54000;0;0;0;0;54000;0;0;54000
159184;0;14400;0;12000;0;6000;14400;12000;6000;32400
158514;210000;0;0;0;0;0;210000;0;0;210000
158515;102000;60000;0;0;0;0;162000;0;0;162000
158516;0;0;0;24000;0;0;0;24000;0;24000
158517;120000;0;10000;0;0;0;120000;10000;0;130000
158519;0;18000;0;1000;0;0;18000;1000;0;19000
158094;0;34080;0;13920;0;0;34080;13920;0;48000
158095;0;10920;0;16490;0;43786;10920;16490;43786;71196
158096;0;34305;0;0;0;24000;34305;0;24000;58305
158097;0;36291.04;0;0;0;0;36291.04;0;0;36291.04
158098;38600;0;0;0;0;0;38600;0;0;38600
158099;0;43200;0;0;0;22800;43200;0;22800;66000
158992;44160;0;0;0;0;6000;44160;0;6000;50160
158993;20600;0;0;0;0;48000;20600;0;48000;68600
157857;0;0;0;48000;0;0;0;48000;0;48000
157858;0;0;0;6000;0;0;0;6000;0;6000
157859;43200;0;0;0;0;0;43200;0;0;43200
158612;0;13138;0;0;0;0;13138;0;0;13138
158613;0;0;0;30000;0;60000;0;30000;60000;90000
159421;0;0;0;30000;0;0;0;30000;0;30000
159422;48000;0;2000;0;0;0;48000;2000;0;50000
159423;30000;20000;20000;5000;0;0;50000;25000;0;75000
161466;0;16000;0;0;0;0;16000;0;0;16000
161467;0;14400;0;0;0;0;14400;0;0;14400
161468;1254;0;15048;0;6500;0;1254;15048;6500;22802
