ID_CANDIDATO;CENTRO_ESTUDIOS;ESPECIALIDAD;CONCLUIDO;EGRESADO
158066;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;OFTALMOLOGIA;SI;SI
160782;UNIVERSIDAD FEDERICO VILLAREAL;GESTIÓN DE INVERSIÓN PÚBLICA;SI;SI
160783;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;CIENCIA POLÍTICA;SI;SI
158432;TROY STATE UNIVERSITY;GRADO DE MAESTRO EN CIENCIAS EN ADMINISTRACIÓN DE PERSONAL;SI;SI
158434;UNIVERSIDAD INCA GARCILASO DE LA VEGA;MAESTRIA EN INVESTIGACION Y DOCENCIA UNIVERSITARIA;;NO
157899;UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO;POLÍTICAS SOCIALES;SI;SI
157901;UNIVERSIDAD CÉSAR VALLEJO;MAESTRIA EN GESTIÓN PÚBLICA;;NO
161625;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DERECHO PENAL;SI;SI
159455;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;GERENCIA EDUCATIVA ESTRATÉGICA;SI;SI
159457;UNIVERSIDAD CESAR VALLEJO;MATERIA EN GESTIÓN PUBLICA;;NO
160201;UNIVERSIDAD SANTIAGO ANTUNEZ DE MAYOLO;GESTION PUBLICA;;NO
160203;UNT;GRADO DE DOCTOR EN CIENCIAS AMBIENTALES;SI;SI
160455;PONTIFICA UNIVERSIDAD CATÓLICA DEL PERU;DERECHO DE LA EMPRESA;;NO
160456;ESCUELA DE POSTGRADO NEWMANN;DERECHO DE LA EMPRESA;;NO
159524;UNIVERSIDAD PERUANA CAYETANO HEREDIA;GESTIÓN PUBLICA CON MENCIÓN EN SERVICIOS DE SALUD;SI;SI
160663;CENTRO DE ALTOS ESTUDIOS MILITARES;DESARROLLO Y DEFENSA NACIONAL;SI;SI
159206;UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO;CIENCIAS ECONÓMICAS CON MENCIÓN EN AUDITORIA Y CONTROL DE GESTIÓN;SI;SI
159386;UNIVERSIDAD NACIONAL TRUJILLO;GESTIÓN PÚBLICA;;NO
159388;UNIVERSIDAD ENRIQUE GUZMAN Y VALLE - LA CANTUTA;DOCTORADO EN EDUCACION;SI;
159199;UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO;AUDITORIA Y CONTROL DE GESTIÓN;;NO
160010;UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE LA CANTUTA;EVALUACIÓN Y ACREDITACIÓN DE LA CALIDAD EDUCATIVA;;NO
158051;UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO;INGENIERIA ESTRUCTURAL;SI;SI
158053;UNIVERSIDAD DE LOS LAGOS DE CHILE;MAGISTER EN ADMINISTRACIÓN DE EMPRESAS;SI;SI
158232;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;DERECHO CIVIL Y COMERCIAL;SI;SI
158234;UNIVERSIDAD NACIONAL DEL SANTA;DERECHO CONSTITUCIONAL;SI;
159165;UNIVERSIDAD PRIVADA CESAR VALLEJO;GESTION PUBLICA;SI;SI
159166;UNIVERSIDAD PRIVADA CESAR VALLEJO;GESTION PUBLICA;SI;SI
159167;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DERECHO Y CIENCIA POLITICA;SI;SI
159168;UNIVERSIDAD CESAR VALLEJO;GESTION PUBLICA;;NO
161027;UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE;DOCENCIA, CURRÍCULO E INVESTIGACIÓN;SI;SI
158863;UNIVERSIDAD INCA GARCILASO DE LA VEGA;DERECHO PENAL;SI;SI
157848;UNIVERSIDAD CESAR VALLEJO;GESTIÓN DE LOS SERVICIOS DE LA SALUD;;NO
157849;UNIVERSIDAD NACIONAL SAN ANTONIO ABAB DEL CUSCO;DESARROLLO RURAL PLANIOFIACION Y GESTION ADMINISTRATIVA;SI;SI
160692;UNIVERSIDAD CESAR VALLEJO;ADMINISTRACION DE LA EDUCACION;SI;SI
160293;UNIVERSIDAD SAN ANTONIO ABAD DEL CUSCO;DERECHO PENAL Y PROCESAL;SI;SI
158899;UNIVERSIDAD CESAR VALLEJO;GESTION PUBLICA;;NO
160459;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;DERECHO PENAL;SI;SI
161330;UNIVERSIDAD MAYOR DE SAN MARCOS;GESTIÓN ADMINISTRATIVA;SI;
161291;UNIVERSIDAD NACIONAL SAN ANTONIO ABAD DEL CUSCO;DERECHO CIVIL Y PROCESAL CIVIL;;NO
161367;CESAR VALLEJO;EDUCACIÓN;SI;SI
159350;UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION;MAESTRO EN DOCENCIA EN EL NIVEL SUPERIOR;SI;SI
159351;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;AUDITORIA EN CONTROL Y GESTION GUBERNAMENTAL;SI;SI
160170;UNIVERSIDAD CATOLICA SAN PABLO;PLANEAMIENTO TERRITORIAL Y ADMINISTRACION PUBLICA;;NO
160173;UNIVERSIDAD CATOLICA DE SANTA MARIA;DERECHO LABORAL Y SEGURIDAD SOCIAL;;NO
