ID_CANDIDATO;CENTRO_ESTUDIOS;CARRERA;CONCLUIDO
161137;INSTITUTO SUPERIOR TECNOLÓGICO NO ESTATAL PERÚ;SECRETARIADO EJECUTIVO;SI
157904;ESCUELA NORMAL NUESTRA SEÑORA DE CHOTA;PROFESOR EDUCACION PRIMARIA ESP MATEMATICA;SI
160022;IST BERTRAND RUSSELL;ENFERMERIA TECNICA;SI
159161;FRANCISCO GONZALES   BURGA;EUCACION  PRIMARIA;SI
159163;ACDEMICA ANDRES BELLO;CAQUIGRAFIA;SI
161574;ESEP MILITAR ELIAS AGUIIRE;ADMINISTRACION;SI
158257;INSTITUTO SUPERIOR PEDAGOGICO SAGRADO CORAZON DE JESUS;EDUCACION FISICA;SI
160102;INSTITUTO SUPERIOR OCTAVIO MATTA CONTRERAS;PROFESOR DE PRIMARIA;SI
160104;COLEGIO DE ABOGADOS DE LIMA;DIPLOMADO EN DERECHO PENAL Y PROCESAL PENAL;SI
160105;UNIVERSIDAD PRIVADA TELESUP;TÉCNICO CAJERO BANCARIO COMERCIAL;SI
158557;JORGE BASADRE;PROFESOR EDUCACIÓN PRIMARIA;SI
159146;INTERPASS;TRADUCTORA DE INGLES;
158705;AUSTIN COMMUNITY COLLEGE;PARAEDUCADOR REGULAR Y PARAEDUCADOR ESPECIAL;SI
158707;IREF LAMBAYEQUE;EDUCACIÓN FÍSICA;SI
158708;CETPRO MEGASYSTEM;OFIMATICA INTERMEDIA;SI
160906;ISPP SAGRADO CORAZON DE JESUS;EDUCACION;SI
159111;INSTITUTO SUPERIOR DE CIENCIAS ADMINISTRATIVAS;CIENCIAS ADMINISTRATIVAS;SI
159112;ESAN;DIPLOMA TRIBUTACION INTERNACIONAL;SI
159118;EUCIM;DIRECCION Y GESTION PUBLICA;SI
159119;ISPP MANUEL GONZALES PRADA;PROFESOR DE EDUCACION PRIMARIA;SI
159136;INSTITUTO PERUANO DE MARKETING;CURSO DE ESPECIALIZACIÓN EN MARKETING;SI
159139;UNIVERSIDAD NACIONAL DE INGENIERIA;AUTOMATIZACION INDUSTRIAL;
157992;UNIVERSIDAD ESAN - PEE IV 1997;ADMINISTRACION Y ORGANIZACION;SI
157992;UNIVERSIDAD ESAN - PEE III 1999;PLAN DE MARKETING;SI
157995;INSTITUTO CULTURAL PERUANO NORTEAMERICANO;INGLES;SI
158014;INTIPAS;CONCILIADOR EXTRAJUDICIAL;SI
158019;ISTECEX - ADEX;ADMINISTRACION NEGOCIOS INTERNACIONALES;SI
161515;ESCUELA DE ADMINSTRACION DE NEGOCIOS PARA GRADUADOS - ESAN;ADMINSTRACION DE RECURSOS HUMANOS;SI
161522;UPLA;DERECHO;
161523;UNIVERSIDAD CESAR VALLEJO;COMPUTACION E INFORMATICA;SI
161525;ISEL;INFORMATICA;
161535;ISET JUAN XVIII;DICIPLINAS TEOLOGICAS;SI
161538;CENTRO DE IDIOMAS USMP;INGLES;
161540;ESCUELA TECNICA PNP;TECNICO POLICIA;SI
161550;UNIVERSIDAD CATOLICA SEDE SAPIENCE;MARKETING;SI
158769;ENSAD;PROGRAMA DE COMPLEMENTACIÓN PEDAGÓGICO;SI
158773;SGS PERÚ;BPMG - GESTIÓN DE CALIDAD 9001;SI
158775;UPIG;DERECHO Y CIENCIAS POLÍTICAS;
158789;CENTRO DE INSTRUCCION GUARDIA CIVIL-PNP;OFICIAL PNP;SI
158793;MONTREAL GOVERMENT SCHOOL;HOTELERIA;SI
161676;L"EURYTHMEE DE LAUSANNE;L"EURYTHMIE;SI
161683;CENTRO DE INNOVACIÓN TECNOLÓGICA DE LA MADERA;ACABADO Y RECUBRIMIENTO EN MADERA;SI
161687;ESCUELA SUPERIOR OSCAR MIRO QUESADA;ADMINISTRACIÓN DE EMPRESAS;SI
161694;SOCIEDAD PERUANA DE BIENES RAICES;AGENTE INMOBILIARIO;SI
161698;LE CORDON BLEU;ADMINISTRACIÓN DE RESTAURANTE;SI
159670;GAMOR;MECANICA AUTOMOTRIZ;SI
159681;INSTITUTO SUPERIOR PEDAGOGICA PRIVADA AMAUTA;EDUCACIÓN PRIMARIA;SI
