ID_CANDIDATO;TIPO_BIEN;VALOR
161336;CASA;582500
161339;TERRENO;1347.28
160973;INMUEBLE;300000
160974;INMUEBLE;300000
160974;INMUEBLE;300000
160974;INMUEBLE;700000
160975;INMUEBLE;250000
160975;INMUEBLE;300000
160976;INMUEBLE;100000
158808;CASA;0
158809;TERRENO;20000
160718;CASA;450000
159289;CASA;450000
159289;TERRENO;150000
159290;PREDIO URBANO;286411.57
159291;CASA HABITACIÓN;34200
159291;TERRENO RURAL;10000
159292;TERRENO;5000
159293;CASA HABITACIÓN;42721.200000000004
159293;TERRENO URBANO;30550
159294;TERRENO;25000
159746;CASA;112390
159746;DEPARTAMENTO;11985
160142;CASA;516800
160142;TERRENO;2745500
160144;INMUEBLE;257200
160146;TERRENO;20000
160147;TERRENO;3500
159495;CASA;11619271
159495;TERRENO;30000
159495;TERRENO;6000
159496;CASA;86250
159497;CASA;28000
159497;CASA;100000
159498;TERRENO;60000
160188;DEPARTAMENTO;60000
160188;TERRENO;30000
160188;CASA;112417
160188;TERRENO;30000
160189;INMUEBLE;87373.45
160189;INMUEBLE;1394.6100000000001
160189;INMUEBLE;77963.28
160189;INMUEBLE;2455.93
160189;INMUEBLE;64045.42
160189;INMUEBLE;25090.75
160189;INMUEBLE;88614.61
160189;INMUEBLE;90876.94
160189;INMUEBLE;11894.72
160189;INMUEBLE;19727.83
160189;INMUEBLE;13977.4
160190;CASA;80000
160190;PREDIO;100000
160190;PREDIO;100000
160190;PREDIO;120000
160190;PREDIO;100000
160190;PREDIO;140000
160190;PREDIO;120000
160191;TERRENO;0
160192;CASA;500000
160192;DEPARTAMENTO;500000
160192;ESTACIONAMIENTO;45000
160193;CASA HABITACIONAL;14996
161084;INMUEBLE (DEPARTAMENTO);320000
161084;INMUEBLE (GARAGE);20000
161087;CASA;120290.44
161087;COCHERA;5598.09
157871;CASA;2970000
157872;CASA;350000
157872;TERRENO;300000
157872;TERRENO;100000
157873;GARAJE;15000
157873;INMUEBLE;300000
157873;TERRENO;150000
157874;CASA;5142691
157874;CASA;2169725
157874;PREDIO RURAL;0
157874;PREDIO;15526.800000000001
158951;INMUEBLE;60
158951;INMUEBLE;60
158953;INMUEBLE;3600000
157965;PREDIO RUSTICO;100000
157966;CASA;120000
157968;CASA;171.87
157969;DEPARTAMENTO;100000
157969;DEPARTAMENTO;250000
160984;TERRENO;38000
160984;CASA;21860
158467;CASA;0
158469;CASA;0
158471;PREDIO;15
160478;CASA;35000
160479;CASA;90000
158532;CASA;74425.92
158533;INMUEBLE;60000
158533;INMUEBLE;121580
161817;CASA;0
161817;CASA;0
159778;TERRENO;45471.700000000004
159779;DEPARTAMENTO;408000
159779;DEPARTAMENTO;1224000
159779;TERRENO RURAL;51000
159779;OFICINA;204000
159780;TERRENO;192281.6
159780;TERRENO;120000
159781;TERRENO RURAL;5000
159781;TERRENO RURAL;8000
159781;TERRENO RURAL;5000
159781;CASA;88018.01
159781;TERRENO RUSTICO;14361.45
159781;TERRENO RURAL;35000
159781;TERRENO;36000
159467;OFICINA;20302.14
159467;VIVIENDA;90306.49
159469;ESTACIONAMIENTO;3984.52
159469;ESACIONAMIENTO;3917.79
159469;DEPARTAMENTO;123417.74
159469;TERRENO RURAL;42000
159471;CASA;1014000
159345;PREDIO;70000
159345;PREDIO;50000
159347;DEPARTAMENTO;169102.30000000002
159347;PREDIO;45000
160306;TERRENO;0
160306;DEPARTAMENTO;120
160306;TERRENO;0
160307;CASA;103
160307;CASA;62
160307;CASA/TERRENO;140
160307;CASA/TERRENO;0
160308;CASA;30
160308;TERRENO;0
160310;CASA;185
160310;TERRENO;55
159295;TERRENO;0
159299;TERRENO;0
159976;TERRENO;75
159978;VIVIENDA;45000
159978;VIVIENDA;120000
159978;VIVIENDA RURAL;85000
159978;OFICINA;40000
159978;OFICINA;45000
159978;OFICINA;45000
159980;TERRENO;40
161448;PREDIO URBANO (COPROPIEDAD);125802.62
161448;PREDIO URBANO (COPROPIEDAD);58724.380000000005
161448;BOSQUE (COPROPIEDAD);5000
161448;FRACCION DE PREDIO (COPROPIED);5000
161450;CASA;81257.7
161450;TIENDA;20451.48
161450;TERRENO;649.73
161451;TERRENO;45000
159541;CASA;200.89000000000001
159541;CASA;695.6800000000001
159541;CASA;438.44
159541;CASA;438.44
159543;CASA;73201.40000000001
159543;CASA;146250
159544;DAPARTAMENTO;65867.58
160223;INMUEBLE;230510
160223;INMUEBLE;27000
160224;INMUEBLE;165395.97
160224;INMUEBLE;10000
160224;INMUEBLE;609555
160224;INMUEBLE;7500
160224;INMUEBLE;9000
161176;CASA;600000
161177;INMUEBLE;260000
161177;INMUEBLE;127680
161177;INMUEBLE;90000
161177;INMUEBLE;18000
161178;VIVIENDA;39.4
161247;INMUEBLE;79000
161247;INMUEBLE;435000
161289;CASA;40000
161290;CASA;425904.78
157875;CASA;69000
157875;CASA;30000
157875;CASA;120000
160108;TERRENO;10000
160108;TERRENO;5000
160108;CASA;20000
159332;DEPARTAMENTO;800
159333;VIVIENDA;0
159990;CASA;148.5
161892;VIVIENDA;250
159870;CASA;110394.43000000001
159871;2 PUESTOS;70000
159871;CASA;150000
159871;CASA;250000
159871;DEPARTAMENTO;200000
159872;CASA;5740
159872;TERRENO;35292
159872;TERRENO;35290
161652;CASA;102006
161652;TERRENO;8796
161652;TERRENO;25000
161652;TERRENO;1412
159926;CASA DE MATERIAL NOBLE;150000
161480;DEPARTAMENTO;269
159733;CASA;200000
161138;IMMUEBLE;500
161138;TERRENO;300
161581;INMUEBLE;12000
161582;INMUEBLE;181.54
161583;TERRENO;479.54
161583;TERRENO;1013
161583;TERRENO;2437.11
157878;CASA;127000
157878;TERRENO;10000
157878;CASA;45000
157880;INMUEBLE;3640.6800000000003
157880;INMUEBLE;3640.6800000000003
157880;INMUEBLE;3640.6800000000003
157880;INMUEBLE;3640.6800000000003
160217;INMUEBLE;500
160217;INMUEBLE;0
159209;TERRENO;30000
159209;TERRENO;15315934
159209;TERRENO;29791440
0;CASA;110000
0;CASA;16000
0;CASA;10000
160903;DEPARTAMNETO;136688.95
161463;CASA DE MATERIAL NOBLE;260000
161465;DEPARTAMENTO;12000
160947;TERRENO URBANO;23984.16
159224;TERRENO;4948
161019;INMUEBLE;79501
158648;CASA;70
159560;DEPARTAMENTO;95395
159560;COCHERA;1495
159560;CASA;68064
159783;TERRENO;100000
160138;INMUEBLE;68626.73
160138;INMUEBLE;10593.6
160138;INMUEBLE;70355.65000000001
160139;INMUEBLE;36500
160139;INMUEBLE;55738.62
160141;INMUEBLE;38000
160141;INMUEBLE;21000
160141;INMUEBLE;600000
160141;INMUEBLE;250000
157881;CASA;126912.95
157882;TERRENO;7200
157882;CASA;12845
157882;TERRENO;18877
157882;TERRENO;6400
157884;CASA;5918
157884;CASA;200
157884;CASA;1243.4
157884;DEPARTAMENTO;1200
157884;CASA;1274.4
157884;CASA;1106.14
157884;ESTACIONAMIENTO;1200
158177;INMUEBLE;213965.61000000002
158177;INMUEBLE;22960.33
158177;INMUEBLE;19214.25
158177;INMUEBLE;9200
158177;INMUEBLE;23486.100000000002
158177;INMUEBLE;394134.25
158178;VIVIENDA;22000
158179;DEPARTAMENTO;89642.18000000001
158179;COCHERA;10144.97
158179;TERRENO;22822.8
158179;COCHERA;10144.97
158180;CASA;22000
158712;CASA;2839000
158715;TERRENO;117880
159098;LOTE;1260000
159098;LOTE;2932144
159098;LOTE;1108240
159098;LOTE;2935684
159098;LOTE;859320
159099;CASA;330960
159099;CASA;474180
160496;CASA;126000
160496;DEPARTAMENTO;78235.93000000001
160496;ESTACIONAMIENTO;10786.58
160497;CASA;499950
160498;TERRENO;62751
160917;INMUEBLE URBANO;110847.27
160917;INMUEBLE URBANO;130030.76000000001
160917;INMUEBLE;94611.16
160917;INMUEBLE;15169.6
160918;INMUEBLE;143000
160918;INMUEBLE;34000
160918;INMUEBLE;38000
160919;INMUEBLE;261358.64
161605;CASA;26580
161606;TERRENO;7000
161607;DEPARTAMENTO;64546.810000000005
158043;CASA;136003.2
158045;TERRENO;28000
158045;TERRENO;4500
158045;TERRENO;4500
158045;TERRENO;4500
158045;CASA;48000
160148;INMUEBLE;273910
160148;INMUEBLE;15120
160148;INMUEBLE;19145
160148;INMUEBLE;26075
160148;INMUEBLE;81480
160148;INMUEBLE;17500
160149;TERRENO;13000
160149;TERRENO;13000
160149;INMUEBLE;80000
160149;DEPARTAMENTO;95000
160149;DEPARTAMENTO;95000
