ID_CANDIDATO;CENTRO_ESTUDIOS;CARRERA;CONCLUIDO
159319;CENACAPE EL PORVENIR - CUSCO;AUXILIAR DE CONTABILIDAD;SI
161090;INSTITUTO SUPERIOR TÉCNICO JORGE BASADRE GROHMAN;CONTABILIDAD;NO
161090;INSTITUTO SUPERIOR TÉCNICO JORGE BASADRE GROHMAN;CONTABILIDAD;NO
160391;INSTITUTO DE EDUACION SUPERIOR DANIEL ALCIDES CARRION;TÉCNICO EN FISIOTERAPIA Y REHABILITACION;SI
159031;ISTP SALUD Y BELLEZA;ENFERMERIA;SI
160565;INSTITUTO SUPERIOR TECNOLÓGICO PEDRO P DIAZ;CONTABILIDAD;SI
159489;INSTITUTO DE EDUCACIONAL SUPERIOR PEDAGÓGICO LAMPA;EDUCACIONAL FÍSICA;SI
161900;INSTITUTO SUPERIOR FRANCISCO DE PAULA VIGIL;TECNICO EN CONTABILIDAD;SI
159219;INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO "JOSE CARLOS MARIATEGUI";COMPUTACIÓN E INFORMÁTICA;SI
160772;INSTITUTO SUPERIOR TECNOLÓGICO LUIS ENRIQUE VALCARCEL;CONTABILIDAD;SI
161567;ICPNA INSTITUTO CULTURAL PERUANO NORTEAMERICANO;INGLES;SI
158070;IINSTITUTO  JOSE CARLOS MARIATEGUI;CONTABILIDAD;SI
161190;INSTITUTO SUPERIOR "ITAE";RELACIONES PUBLICAS;NO
161191;INSTITUTO TECNOLOGICO PASCO;TECNICO EN FARMACIA;SI
157950;IPAE;RECURSOS HUMANOS;SI
160567;IESTEP PASCO;GUIA OFICIAL DE TURISMO;SI
161769;INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PUBLICO OXAPAMPA;COMPUTACIÓN INFORMÁTICA;NO
158312;INSTITUTO PERUANO DE COMUNICACIONES;COMUNICACION AUDIO VISUAL;SI
158827;INSTITUTO SUPERIOR TECNOLÓGICO PASCO;COMPUTACIÓN E INFORMÁTICA;SI
158828;INSTITUTO SUPERIOR TECNOLÓGICO ALEXANDER VONN HUMBOLDT;CONTABILIDAD;SI
161470;PATMO;CONCILIADOR EXTRAJUDICIAL Y DE FAMILIA;SI
161470;PATMO;CONCILIADOR EXTRAJUDICIAL Y DE FAMILIA;SI
159726;INSTITUTO SUPERIOR SISE;SECRETARIADO EJECUTIVO;SI
159533;ALEXANDER;COMPUTACION E INFORMATICA;SI
158224;IDAT;TECNICO EN COMPUTACION;SI
157928;INSTITUTO NACIONAL AGROPECUARIO N°7;TÉCNICO AGROPECUARIO;SI
159003;ETSUNP;CONTABILIDAD Y FINANZAS;SI
158243;CESCA;COMPUTACION;SI
159795;INSTITUTO SUPERIOR TECNOLÓGICO   ALMIRANTE MIGUEL GRAU -PIURA;TÉCNICO EN ELECTRICIDAD;SI
158596;INSTITUTO SUPERIOR TECNOLÓGICO PUBLICO JUAN JOSE FARFAN CESPEDES;MECÁNICA AUTOMOTRIZ;SI
160572;SIENEGUILLO - SULLANA;TECNICO DE ENFERMERIA;SI
160572;SIENEGUILLO - SULLANA;TECNICO DE ENFERMERIA;SI
160573;ALMIRANTE MIGUEL GRAU;SECRETARIADO;SI
160574;INSTITUTO SAN MARTIN DEL PERU;ADMINISTRACION HOTELERA Y TURISMO;NO
160394;SENATI;ELECTRICIDAD INDUSTRIAL;SI
160395;CENTRO REGIONAL DE CAPACITACIÓN COOPERATIVA;TÉCNICO EN COOPERATIVAS;SI
160396;INSTITUTO TECNOLÓGICO ARGENTINO;BACHILLER PROFESIONAL ADMINISTRACIÓN SECRETARIADO;SI
160400;CEOGNEH PATTERSON;AUXILIAR CONTABLE;SI
161825;INSTITUTO COMERCIO NRO 40;SECUNDARIA COMERCIAL;SI
158147;INSTITUTO TECNOLOGICO DEL NORTE;TECNICA EN CONTABILIDAD;SI
158089;ESCUELA TÉCNICA DEL EJÉRCITO;MECÁNICA DE ARMAMENTO;SI
159500;SENATI;MECANICA DE MANTENIMENTO;SI
159501;ADUNI;DISEÑO VIRTUAL;NO
159502;IDAT;TÉCNICO INFORMÁTICO;NO
158963;INSTITUTO COSMOS;TECNICO EN CONTABILIDAD;SI
160760;CEO LA CANTUTA;AUXILIAR DE EDUCACIÓN PRIMARIA;SI
160350;CENTRO DE ESTUDIOS DE LA UNA PUNO;TECNICO EN IDIOMAS - INGLES;SI
157957;IEST MANUEL NÚÑEZ BUTRÓN;PRÓTESIS DENTAL;SI
160657;SENATI JULIACA;ELECTRICIDAD INDUSTRIAL;SI
161072;INSTITUTO SUPERIOR DEL ALTIPLANO;COMPUTACION E INFORMATICA;SI
