ID_CANDIDATO;CENTRO_ESTUDIOS;ESPECIALIDAD;CONCLUIDO;EGRESADO
159253;UNIVERSIDAD DE SAN MARTIN DE PORRES;DERECHO PENAL;SI;SI
159256;INSTITUTO DE GOBIERNO UNIVERSIDAD SAN MARTIN DE PORRES;MAESTRIA DE GOBIERNO Y GESTIÓN PÚBLICA;SI;SI
159257;UNIVERSIDAD DE LLEIDA - ESPAÑA;MAESTRÍA EN NEGOCIOS INTERNACIONALES - MBA;SI;SI
159265;EUCIM;GESTIÓN PÚBLICA;SI;SI
159266;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;MAESTRIA EN GESTIÓN AMBIENTAL;SI;SI
159267;UNIVERSIDAD CESAR VALLEJO;MAESTRIA EN GESTION PUBLICA;;NO
159269;UNVERSIDAD ESAN;MAESTRIA EN ADMINISTRACION;SI;SI
159272;MAESTRIA;RELACIONES PUBLICAS;SI;SI
159274;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;EDUCACION CON MENCION EN DOCENCIA UNIVERSITARIA;SI;SI
159275;UNIVERSIDAD CESAR VALLEJO;MAESTRIA EN GESTIÓN PÚBLICA;SI;SI
160880;ESAN;ADMINISTRACION;SI;SI
160881;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;GESTION DE LA ADINISTRACION DE LA EDUCACION;SI;SI
160883;UNIVERSIDAD ALAS PERUANAS;GESTIN PUBLICA Y CONTROL GUBERNAMENTAL;SI;SI
160893;UNIVERSIDAD NACIONAL MAYOR DE SANMARCOS;ECONOMIA;SI;SI
159933;UNIVERSIDAD CESAR VALLEJO;MAGISTER EN EDUCACION CON MENCION EN DOCENCIA Y GESTIÓN EDUCATIVA;SI;SI
159934;THE UNIVERSITY OF CHICAGO;MASTER EN DERECHO;SI;SI
159936;BIRKBECK COLLEGE UNIVERSITY OF LONDOM;ECONOMIA;SI;SI
159937;UNIVERSIDAD ESAN;MBA;SI;SI
159940;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;SI;SI
159941;UNIVERSIDAD DE SAO PAULO;MAESTRÍA EN CIENCIAS E INGENIERÍA ELÉCTRICA;SI;SI
159944;CENTRO DE ALTOS ESTUDIOS NACIONALES - CAEN;II MAESTRIA EN INTELIGENCIA ESTRATEGICA 2017;SI;SI
159945;ADOLFO IBAÑEZ SCHOOL OF MANAGEMENT FLORIDA USA;MASTER IN BUSINESS ADMINISTRATION - MBA;SI;SI
159947;UNIVERSIDAD DE SAN MARTIN DE PORRES;DERECHO TRIBUTARIO Y FISCALIDAD INTERNACIONAL;;NO
159953;CENTRO DE ALTOS ESTUDIOS NACIONALES (CAEN);SEGURIDAD Y DEFENSA NACIONAL;SI;SI
159954;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;TRIBUTACION;SI;SI
159963;FEDERICO VILLAREAL;GESTION AMBIENTAL;SI;SI
161034;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;MAESTRIA INGENIERIA ELECTRONICA CON MENCION EN TELEMATICA;SI;SI
161034;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;MAESTRIA INGENIERIA ELECTRONICA CON MENCION EN TELEMATICA;SI;SI
161036;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;MAESTRÍA EN ADMINISTRACIÓN ESTRATÉGICA DE EMPRESAS;SI;SI
161038;UNIVERSIDAD PERUANA CAYETANO HEREDIA;MAESTRIA EN MEDICINA CON MENCIÓN EN GINECOLOGIA Y OBSTETRICIA;SI;SI
161039;UNIVERSIDAD INCA GARCILASO DE LA VEGA;DERECHO;SI;SI
161042;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;MAESTRÍA EN ADMINISTRACIÓN DE SERVICIOS DE SALUD;SI;SI
161047;ESCUELA INTERNACIONAL DE POSGRADO;GERENCIA DE PROYECTOS Y PROGRAMAS SOCIALES;;NO
161047;ESCUELA INTERNACIONAL DE POSGRADO;GERENCIA DE PROYECTOS Y PROGRAMAS SOCIALES;;NO
161049;JURADO NACIONAL DE ELECCIONES;MAESTRÍA EN ESTUDIOS POLÍTICOS APLICADOS CON MENCIÓN EN GESTIÓN ELECTORAL;SI;SI
161051;UNIVERSIDAD INCA GARCILAZO DE LA VEGA;EDUCACION;SI;SI
161052;UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS;MAESTRÍA EN GESTIÓN PÚBLICA;SI;SI
161053;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;CIRUGIA GENERAL;SI;SI
161055;UNIVERSIDAD NACIONAL FEDERICO VILLAREAL;DERECHO CONSTITUCIONAL;;NO
161057;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;ANTROPOLOGÍA VISUAL;SI;SI
161059;UNIVERSIDAD FEDERICO VILLARREAL;MAESTRIA EN DERECHO EMPRESARIAL;SI;SI
161062;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;FINANZAS;SI;SI
161062;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;FINANZAS;SI;SI
161069;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO CONSTITUCIONAL;;NO
161069;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO CONSTITUCIONAL;;NO
160357;FEDERICO VILLARREAL;INGENIERIA DE SISTEMAS;SI;SI
160358;UNIVERSIDAD DEL PACIFICO;ADMINISTRACION DE NEGOCIOS;SI;
160360;UNIVERSIDAD FEDERICO VILLARREAL;MAESTRÍA EN DERECHO CONSTITUCIONAL;SI;SI
160387;ESCUELA DE CRIMINOLOGIA CLINICA ROMA ITALIA;CRIMINOLOGÍA;SI;SI
160806;PONTIFICIA UNIVERSIDAD CATÓLICA  DEL PERÚ;MAESTRÍA EN GERENCIA SOCIAL;;NO
160807;UNIVERSIDAD ALAS PERUANAS;MAESTRÍA EN DERECHO PENAL;SI;SI
160808;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;MEDICINA INTERNA;SI;SI
160809;INCAE BUSINESS SCHOOL;MBA GLOBAL EXECUTIVE;SI;SI
160812;INSTITUTO DE GOBIERNO Y GESTIÓN PUBLICA DE LA USMP;GOBIERNO Y GESTIÓN PUBLICA;SI;SI
160818;UNIVERSIDAD NACIONAL  MAYOR DE SAN MARCO;MAESTRÍA EN GESTIÓN Y POLÍTICAS PUBLICAS;;NO
160819;UNIVERSIDAD DEL PACIFICO;EN COMUNICACIÓN POLÍTICA;;NO
160820;UNIVERSIDAD FEDERICO VILLARREAL;MAGISTER- GESTIÓN MUNICIPAL;SI;SI
160823;CENTRUM PUCP;MBA GLOBAL;SI;SI
160824;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;MAGISTER EN ADMINISTRACION  ESPECIALISTA DE EMPRESA;SI;SI
160825;UNIVERSIDAD DE PIURA;FILOSOFIA;SI;SI
160826;UNIVERSIDAD CATOLICA SANTO TORIBIO DE MOGROVEJO USAT;PERSONA MATRIMONIO Y FAMILIA;SI;SI
160828;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;CIRUGIA BUCAL Y MAXILOFACIAL;;NO
159833;UNIVERSIDAD NACIONAL DE TRUJILLO;PLANIFICACION Y GESTION PUBLICA;SI;SI
159834;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;CIENCIAS PENALES DERECHO;SI;SI
159836;CENTRO DE ALTOS ESTUDIOS NACIONALES CAEN;MAESTRIA EN DESARROLLO Y DEFENSA NACIONAL;SI;
159840;UNIVERSIDAD PRIVADA CESAR VALLEJO;GESTION PUBLICA;SI;SI
159842;UNIVERSIDAD CESAR VALLEJO;DOCTORA EN ADMINISTRACION DE LA EDUCACION;SI;SI
159845;UNIVERSIDAD SAN MARTÍN DE PORRES;GOBIERNO Y GESTIÓN PÚBLICA;SI;SI
159846;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;INVESTIGACIÓN Y DOCENCIA;SI;SI
159847;UNIVERSITY OF NEW HAMPSHIRE;ADMINISTRACIÓN Y FINANZAS;SI;SI
159853;UNIVERSIDAD SAN MARTÍN DE PORRES;DERECHO PENAL;;NO
159858;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;DOCTORADO EN CONTABILIDAD;SI;SI
159862;UNMSM;MAESTRIA, MENCION: DESARROLLO EMPRESARIAL Y REGIONAL;;NO
158724;UNIVERSIDAD COMPLUTENCE DE MADRID;DERECHOS HUMANOS;SI;SI
158727;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DOCTORA EN LITERATURA PERUANA Y LATINOAMERICANA;SI;SI
158728;UNIVERSIDAD INCA GARCILAZO DE LA VEGA;MARKETING Y COMERCIO INTERNACIONAL;SI;SI
158729;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;MARKETING;SI;SI
158732;CENTRUM CATOLICA;MASTER EN MARKETING;SI;SI
