ID_CANDIDATO;TIPO_BIEN;VALOR
160273;TERRENO;5000
159241;CASA;336440.82
159243;DEPARTAMENTO;305000
159243;DEPOSITO;5000
159243;ESTACIONAMIENTO;17000
159243;PARCELA;4087.9300000000003
159243;DEPARTAMENTO;350000
159245;CASA;270739.67
159245;TERRENO;15048
159246;ESTACIONAMIENTO;17170.94
159246;ESTACIONAMIENTO;17172.09
159246;ESTACIONAMIENTO;17172.09
159246;ESTACIONAMIENTO;17172.09
159246;DEPOSITO;12190.9
159246;DEPARTAMENTO;427966.33
159246;DEPARTAMENTO;47357.66
159246;ESTACIONAMIENTO;16898
159246;PARCELA RUSTICA;76064.71
159246;ESTACIONAMIENTO;1486.39
159246;ESTACIONAMIENTO;1486.39
159246;ESTACIONAMIENTO;1629.23
159247;PARCELA;223988
159247;TERRENO;98349
159247;TERRENO;28173.5
159247;TERRENO;28173.5
159247;CASA;2180000
159249;CASA;151870.97
159249;CASA;75493.7
159249;TERRENO;16544
159251;DEPARTAMENTO;9255.22
159251;DEPARTAMENTO;127436.56
159251;ESTACIONAMIENTO;10541.43
159255;CASA;1675000
159255;DEPARTAMENTO;600000
159255;ESTACIONAMIENTO;23450
159255;DEPARTAMENTO;300000
159255;CHACRA;1000000
159256;CASA;540491
159256;DEPARTAMENTO;207262
159256;CASA;377827
159256;CALLEJON;101801
159257;DEPARTAMENTO;450000
159262;DEPARTAMENTO;1420263.8
159262;DEPARTAMENTO;1251640
159263;DEPARTAMENTO;193701.28
159263;CASA;20000
159263;ESTACIONAMIENTO;27979.670000000002
159263;ESTACIONAMIENTO;26031.440000000002
159263;DEPOSITO;4202.52
159264;INMUEBLE;330000
159264;INMUEBLE;450000
159264;INMUEBLE;198000
159264;INMUEBLE;297000
159266;DEPARTAMENTO;260000
159266;TERRENO;63000
159271;CASA;309498.22000000003
160896;ESTACIONAMIENTO;3210.06
160896;DEPARTAMENT;90177.17
160896;DEPARTAMENTO;51398.4
160896;CASA;243550
159929;CASA;460000
159929;CASA;87082.5
