ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_PARTIDARIO;DESDE;HASTA
161423;PARTIDO POLÍTICO PARTIDO MORADO;COMITE EJECUTIVO NACIONAL;2017;HASTA LA ACTUALIDAD
161424;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO NACIONAL DE DOCTRINA;2018;HASTA LA ACTUALIDAD
161424;PARTIDO POLÍTICO PARTIDO MORADO;MIEMBRO DEL COMITÉ EJECUTIVO NACIONAL;2018;HASTA LA ACTUALIDAD
161425;PARTIDO POLÍTICO PARTIDO MORADO;FUNDADOR;2017;HASTA LA ACTUALIDAD
161425;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO NACIONAL DE FINANZAS;2019;HASTA LA ACTUALIDAD
161428;PARTIDO POLÍTICO PARTIDO MORADO;MIEMBRO DEL COMITÉ EJECUTIVO NACIONAL;2018;HASTA LA ACTUALIDAD
161429;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO GENERAL DE LIMA METROPOLITANA;2019;HASTA LA ACTUALIDAD
161430;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA PROVINCIAL DE ORGANIZACIÓN Y PLANEAMIENTO DE LIMA METROPOLITANA;2019;HASTA LA ACTUALIDAD
161430;PARTIDO POLÍTICO PARTIDO MORADO;FUNDADORA;2019;HASTA LA ACTUALIDAD
161431;PARTIDO POLÍTICO PARTIDO DESCENTRALISTA FUERZA SOCIAL;FUNDADOR;2010;2012
161432;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO GENERAL DISTRITAL DE SAN JUAN DE LURIGANCHO;2019;HASTA LA ACTUALIDAD
161433;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO PROVINCIAL DE GREMIOS Y ORGANIZACIONES SOCIALES DE LIMA METROPOLITANA;2019;HASTA LA ACTUALIDAD
161434;PARTIDO POLÍTICO PARTIDO MORADO;SUB SECRETARIA NACIONAL DE JÓVENES MORADOS;2019;HASTA LA ACTUALIDAD
161435;PARTIDO POLÍTICO PARTIDO MORADO;SUB SECRETARIO NACIONAL DE JÓVENES MORADOS;2019;HASTA LA ACTUALIDAD
161436;ALIANZA ELECTORAL ALIANZA ELECTORAL UNIDAD NACIONAL;SECRETARIO GENERAL DISTRITAL;2019;HASTA LA ACTUALIDAD
161437;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA GENERAL DISTRITAL DE CERCADO DE LIMA;2019;HASTA LA ACTUALIDAD
161439;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA DISTRITAL DE MAGDALENA DEL MAR;2019;HASTA LA ACTUALIDAD
161440;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO PROVINCIAL DE ESTRATEGIA PROGRAMATICA Y PLAN DE GOBIERNO DE LIMA METROPOLITANA;2019;2019
161440;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO DISTRITAL DE ORGANIZACIÓN Y PLANEAMIENTO DE SAN MIGUEL;2019;HASTA LA ACTUALIDAD
161441;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA GENERAL DISTRITAL DE PUEBLO LIBRE;2019;HASTA LA ACTUALIDAD
161442;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO DISTRITAL GENERAL DE VILLA EL SALVADOR;2019;HASTA LA ACTUALIDAD
161443;PARTIDO POLÍTICO PERU POSIBLE;MILITANTE;2005;2017
161443;PARTIDO POLÍTICO PARTIDO MORADO;MIEMBRO DEL EQUIPO DE ORGANIZACIÓN NACIONAL;2019;HASTA LA ACTUALIDAD
161444;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO GENERAL DISTRITAL DE MIRAFLORES;2019;HASTA LA ACTUALIDAD
161446;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIO DISTRITAL DE COMAS;2019;HASTA LA ACTUALIDAD
161447;PARTIDO POLÍTICO PARTIDO MORADO;SECRETARIA DE ORGANIZACIÓN Y PLANEAMIENTO DE PUEBLO LIBRE;2019;HASTA LA ACTUALIDAD
161192;PARTIDO POLÍTICO PERU POSIBLE;SECRETARIO NACIONAL POLÍTICA;2001;2006
