ID_CANDIDATO;ORGANIZACION_POLITICA;CARGO_ELECCION;DESDE;HASTA
160569;PARTIDO POLÍTICO FUERZA POPULAR;CONGRESISTA DE LA REPÚBLICA;2016;2019
160395;PARTIDO POLÍTICO ACCION POPULAR;REGIDOR DISTRITAL;1966;1969
160395;ALIANZA ELECTORAL IZQUIERDA UNIDA;SENADOR;1985;1990
161822;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;CONSEJERO REGIONAL;2007;2010
161823;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;CONGRESISTA DE LA REPÚBLICA;2006;2011
158142;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;ALCALDE DISTRITAL;2011;2014
158142;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;ALCALDE PROVINCIAL;2015;2018
158144;MOVIMIENTO REGIONAL O DEPARTAMENTAL UNION DEMOCRATICA DEL NORTE;VICEGOBERNADOR REGIONAL;2015;2018
158145;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL OBRAS + OBRAS;REGIDOR PROVINCIAL;2011;2014
160934;PARTIDO POLÍTICO ACCION POPULAR;REGIDOR DISTRITAL;2011;2014
160936;PARTIDO POLÍTICO PARTIDO DEMOCRATICO SOMOS PERU;REGIDOR DISTRITAL;2007;2010
160936;MOVIMIENTO REGIONAL O DEPARTAMENTAL UNIDAD POPULAR REGIONAL PIURA;REGIDOR PROVINCIAL;2011;2014
160968;MOVIMIENTO REGIONAL O DEPARTAMENTAL UNION DEMOCRATICA DEL NORTE;CONSEJERO REGIONAL;2014;2018
158087;MOVIMIENTO REGIONAL O DEPARTAMENTAL UNIDOS CONSTRUYENDO;GOBERNADOR REGIONAL;2011;2014
159282;PARTIDO POLÍTICO PARTIDO APRISTA PERUANO;CONGRESISTA DE LA REPÚBLICA;2001;2011
159282;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL OBRAS + OBRAS;REGIDOR PROVINCIAL;1999;2001
159285;MOVIMIENTO REGIONAL O DEPARTAMENTAL MOVIMIENTO REGIONAL SEGURIDAD Y PROSPERIDAD;REGIDOR PROVINCIAL;2015;2018
158959;ALIANZA ELECTORAL ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2007;2010
158959;ALIANZA ELECTORAL ALIANZA ELECTORAL UNIDAD NACIONAL;REGIDOR DISTRITAL;2003;2006
158960;PARTIDO POLÍTICO FUERZA POPULAR;REPRESENTANTE ANTE EL PARLAMENTO ANDINO;2016;HASTA LA ACTUALIDAD
