ID_CANDIDATO;UNIVERSIDAD;CARRERA;CONCLUIDO;BACHILLER;TITULO
160626;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;DERECHO Y CIENCIA POLITICAS;SI;SI;SI
160628;UNIVERSIDAD CATOLICA LOS ANGELES DE CHIMBOTE;DERECHO Y CIENCIAS POLITICA;NO;;
160630;UNIVERSIDAD INCA GARCILASO DE LA VEGA;DERECHO;NO;SI;SI
160630;UNIVERSIDAD SAN MARTIN DE PORRES;RELACIONES INDUSTRIALES;SI;SI;SI
160631;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;EDUCACION FISICA;NO;NO;
160631;UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION;GESTION PUBLICA;NO;NO;
160632;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;INGENIERIA INDUSTRIAL;SI;SI;SI
159889;UNIVERSIDAD INCA GARCILAZO DE LA VEGA;DERECHO;SI;NO;NO
159891;UNIVERSIDAD DE LIMA;DERECHO;SI;SI;SI
159892;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;INGENIERIA INDUSTRIAL;SI;SI;SI
159892;UNIVERSIDAD INCA GARCILAZO DE LA VEGA;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
159893;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;CIENCIAS POLITICAS;SI;SI;SI
159894;SAN MARTIN DE PORRES;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
159895;SAN MARTIN DE PORRES;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;SI
159896;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;LETRAS Y CIENCIAS HUMANAS - HISTORIA;SI;SI;NO
159896;UNIVERSIDAD DE LIMA;DERECHO;NO;;
159897;INCA GARCILAZO DE LA VEGA;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
159898;SAN IGNACIO DE LOYOLA;ADMINISTRACION;SI;SI;NO
159899;ALAS PERUANAS;DERECHO;SI;SI;SI
159900;SAN MARTIN DE PORRES;DERECHO;SI;SI;SI
159901;FACULTAD DE TEOLOGIA PONTIFICIA Y CIVIL DE LIMA;FILOSOFIA;NO;NO;NO
159901;UNIVERSIDAD DE LIMA;DERECHO Y CIENCIAS POLITICAS;NO;NO;NO
159902;UNIVERSIDAD GARCILAZO DE LA VEGA;DERECHO Y CIENCIAS POLITICAS;SI;SI;SI
159902;UNIVERSIDAD LA CATOLICA DEL PERU UPCP;GESTION Y ALTA DIRECCION;NO;NO;NO
159903;UNIVERSIDAD MAYOR DE SAN MARCOS;DERECHO Y CIENCIA POLITICA;SI;SI;SI
159904;UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA;DERECHO;SI;SI;SI
159905;SAN MARTIN;MEDICO CIRUJANO;SI;SI;SI
159906;UNIVERSIDAD CAYETANO HEREDIA;MEDICINA HUMANA;NO;;
159907;UNIVERSIDAD DE SAN MARTIN DE PORRES;ABOGADO;SI;SI;SI
159907;UNIVERSIDAD INCA GARCILAZO DE LA VEGA;RELACIONES INTERNACIONALES Y NEGOCIACIONES;SI;SI;NO
159908;UNIVERSIDAD FEDERICO VILLARREAL;CIENCIAS ECONOMICAS;SI;SI;NO
159908;UNIVERSIDAD JOSE FAUSTINO SANCHEZ CARRION;ECONOMISTA;NO;NO;SI
159910;UNIVERSIDAD SAN MARTIN DE PORRES;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;SI
159911;INCA GARCILAZO DE LA VEGA;ADMINISTRACION DE EMPRESAS;NO;NO;NO
159914;SAN ANTONIO ABAD DEL CUZCO;CONTABILIDAD;SI;SI;SI
159915;UNIVERSIDAD PERUANA DE INTEGRACION GLOBAL;MARKETING Y NEGOCIOS INTERNACIONALES;SI;SI;NO
159916;SAN JUAN BAUTISTA;DERECHO;SI;SI;SI
159918;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;HISTORIA Y GEOGRAFIA;SI;SI;SI
159923;UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA;CIENCIAS DE LA COMUNICACIÓN;SI;SI;SI
159924;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;EDUCACION - LENGUAJE Y LITERATURA;NO;NO;NO
161412;UNIVERSIDAD NACIONAL DE INGENIERÍA;INGENIERÍA INDUSTRIAL;SI;SI;SI
161413;PONITIFICIA UNIVERSIDAD CATOLICA DEL PERU;DERECHO;SI;SI;SI
161414;ESCUELA MILITAR DE CHORRILLOS;OFICIAL DEL EJERCITO;SI;NO;SI
161414;ESCUELA SUPERIOR TÉCNICA DEL EJERCITO;ING MECÁNICA DE AUTOMOTORES;SI;SI;NO
161415;UNIVERSIDAD DE LIMA;DERECHO;SI;SI;SI
161416;UNIVERSIDAD NACIONAL SAN AGUSTÍN;EDUCACIÓN;SI;SI;SI
161417;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;DERECHO;SI;SI;SI
161418;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;DERECHO;SI;SI;SI
161419;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;FILOSOFÍA;SI;SI;NO
161419;UNIVERSIDAD CATÓLICA DE LOVAINA BÉLGICA;FILOSOFÍA;SI;NO;SI
161420;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DERECHO Y CIENCIAS POLÍTICAS;SI;SI;SI
161421;LAFAYETTE COLLEGE;CIENCIAS POLITICAS Y RELACIONES INTERNACIONALES;SI;SI;SI
161422;UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA;MEDICINA HUMANA;SI;SI;SI
161423;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;SOCIOLOGÍA;SI;SI;SI
161424;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;DERECHO;SI;SI;SI
161425;UNIVERSIDAD NACIONAL FEDERICO VILLARREAL;ESTOMATOLOGÍA;SI;SI;SI
161427;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;ECONOMIA;SI;SI;NO
161428;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;ANTROPOLOGÍA;SI;SI;SI
161429;UNIVERSIDAD NACIONAL DE INGENIERÍA;INGENIERÍA QUÍMICA;NO;NO;NO
161430;UNIVERSIDAD ALAS PERUANAS;DERECHO Y CIENCIA POLÍTICA;SI;SI;SI
161431;UNIVERSIDAD DE LIMA;DERECHO;SI;SI;NO
161432;UNIVERSIDAD INCA GARCILASO DE LA VEGA;ADMINISTRACIÓN;SI;SI;SI
161433;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;ADMINISTRACIÓN DE TURISMO;SI;SI;SI
161434;UNIVERSIDAD DE LIMA;ADMINISTRACIÓN;SI;SI;SI
161435;PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ;CIENCIA POLÍTICA Y GOBIERNO;SI;SI;SI
161436;UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA;MEDICINA HUMANA;NO;NO;NO
161436;UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA;ADMINISTRACIÓN DE NEGOCIOS;NO;NO;NO
161437;UNIVERSIDAD SAN MARTÍN DE PORRES;ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES;NO;NO;NO
161439;UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS;EDUCACIÓN;SI;SI;SI
